﻿subway,서울역,,37.5544092,126.9707527,,150,,공항철도 1호선&경의선&경의선&경부선&4호선&1호선,,서울특별시 용산구 청파로 378 철도청,서울특별시 용산구 동자동 43-205,서울특별시,용산구,동자동,43-205
subway,시청역,,37.56499534,126.9762809,,151,,2호선&1호선,,서울특별시 중구 세종대로 99 덕수궁,서울특별시 중구 정동 5-1,서울특별시,중구,정동,5-1
subway,종각역,,37.57007096,126.9830618,,152,,1호선,,서울특별시 종로구 종로 55 종각지하철역사,서울특별시 종로구 관철동 291-2,서울특별시,종로구,관철동,291-2
subway,종로3가역,,37.57148477,126.992004,,153,,5호선&3호선&1호선,,,서울특별시 종로구 묘동 60-2,서울특별시,종로구,묘동,60-2
subway,종로5가역,,37.57076436,127.0015216,,154,,1호선,,서울특별시 종로구 종로 214,서울특별시 종로구 종로5가 138-2,서울특별시,종로구,종로5가,138-2
subway,동대문역,,37.57093701,127.0105456,,155,,4호선&1호선,,,서울특별시 종로구 창신동 463-5,서울특별시,종로구,창신동,463-5
subway,신설동역,,37.57537509,127.0249772,,156,,2호선&1호선,,서울특별시 동대문구 왕산로2길 16-2,서울특별시 동대문구 신설동 102-34,서울특별시,동대문구,신설동,102-34
subway,제기동역,,37.57806483,127.0349855,,157,,1호선,,,서울특별시 동대문구 용두동 47-1,서울특별시,동대문구,용두동,47-1
subway,청량리역,,37.57979466,127.0460808,,158,,경원선&1호선,,서울특별시 동대문구 왕산로 205 청량리역,서울특별시 동대문구 전농동 620-69,서울특별시,동대문구,전농동,620-69
subway,동묘앞역,,37.57229512,127.0162826,,159,,6호선&1호선,,서울특별시 종로구 종로56길 20-8 G7,서울특별시 종로구 숭인동 313-12,서울특별시,종로구,숭인동,313-12
subway,을지로3가역,,37.56648602,126.9912576,,203,,3호선&2호선,,,서울특별시 중구 을지로3가 65-28,서울특별시,중구,을지로3가,65-28
subway,을지로입구역,,37.56578928,126.9819174,,202,,2호선,,서울특별시 중구 남대문로 81 롯데백화점 본점,서울특별시 중구 을지로1가 140-1,서울특별시,중구,을지로1가,140-1
subway,을지로4가역,,37.56712433,126.9983432,,204,,5호선&2호선,,서울특별시 중구 창경궁로 51 을지로4가역 5호선,서울특별시 중구 을지로4가 103-1,서울특별시,중구,을지로4가,103-1
subway,동대문역사문화공원역,,37.56524294,127.0078284,,205,,5호선&4호선&2호선,,서울특별시 중구 장충단로 230 동대문역사문화공원역 4호선,서울특별시 중구 을지로7가 134-5,서울특별시,중구,을지로7가,134-5
subway,신당역,,37.56564562,127.0178342,,206,,6호선&2호선,,서울특별시 중구 다산로 260 신당역 6호선,서울특별시 중구 흥인동 162-1,서울특별시,중구,흥인동,162-1
subway,상왕십리역,,37.56438569,127.0293246,,207,,2호선,,,서울특별시 성동구 하왕십리동 960-3,서울특별시,성동구,하왕십리동,960-3
subway,왕십리역,,37.56131665,127.0370741,,208,,경원선,,,서울특별시 성동구 행당동 188-1,서울특별시,성동구,행당동,188-1
subway,한양대역,,37.55554818,127.0435675,,209,,2호선,,,서울특별시 성동구 행당동 64-1,서울특별시,성동구,행당동,64-1
subway,뚝섬역,,37.54726848,127.0473243,,210,,2호선,,,서울특별시 성동구 성수동1가 656-853,서울특별시,성동구,성수동1가,656-853
subway,성수역,,37.54456548,127.0558817,,211,,2호선,,,서울특별시 성동구 성수동2가 276-5,서울특별시,성동구,성수동2가,276-5
subway,건대입구역,,37.54077017,127.0703305,,212,,7호선&2호선,,서울특별시 광진구 동일로22길 111,서울특별시 광진구 화양동 5-48,서울특별시,광진구,화양동,5-48
subway,구의역,,37.5370658,127.0861764,,213,,2호선,,,서울특별시 광진구 자양동 216-14,서울특별시,광진구,자양동,216-14
subway,강변역,,37.53515647,127.0947187,,214,,2호선,,서울특별시 광진구 강변역로 53 2호선 강변역,서울특별시 광진구 구의동 546-6,서울특별시,광진구,구의동,546-6
subway,잠실나루역,,37.52060023,127.1031846,,215,,2호선,,서울특별시 송파구 올림픽로35길 94 장미3차맨션,서울특별시 송파구 신천동 11,서울특별시,송파구,신천동,11
subway,잠실역,,37.51359863,127.1020893,,216,,8호선&2호선,,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29,서울특별시,송파구,신천동,29
subway,신천역,,37.51162144,127.0865458,,217,,2호선,,서울특별시 송파구 올림픽로 140 신천역,서울특별시 송파구 잠실동 21,서울특별시,송파구,잠실동,21
subway,종합운동장역,,37.51134858,127.0741808,,218,,9호선2단계&2호선,,서울특별시 송파구 올림픽로 23 종합운동장역,서울특별시 송파구 잠실동 11,서울특별시,송파구,잠실동,11
subway,삼성역,,37.50904841,127.0629362,,219,,2호선,,,서울특별시 강남구 삼성동 111-8,서울특별시,강남구,삼성동,111-8
subway,선릉역,,37.50497496,127.0493839,,220,,분당선&2호선,,서울특별시 강남구 테헤란로 401 남경센타,서울특별시 강남구 삼성동 141-35,서울특별시,강남구,삼성동,141-35
subway,역삼역,,37.50038426,127.0369412,,221,,2호선,,서울특별시 강남구 테헤란로 152 강남파이낸스센터,서울특별시 강남구 역삼동 737,서울특별시,강남구,역삼동,737
subway,강남역,,37.49690873,127.0280737,,222,,2호선,,,서울특별시 서초구 서초동 1374,서울특별시,서초구,서초동,1374
subway,서초역,,37.49157762,127.0080031,,224,,2호선,,,서울특별시 서초구 서초동 1542-23,서울특별시,서초구,서초동,1542-23
subway,방배역,,37.48151535,126.9975193,,225,,2호선,,서울특별시 서초구 방배로 80 방배역,서울특별시 서초구 방배동 912-14,서울특별시,서초구,방배동,912-14
subway,사당역,,37.47660148,126.9816152,,226,,4호선&2호선,,서울특별시 동작구 동작대로 3 사당역(4호선),서울특별시 동작구 사당동 588-45,서울특별시,동작구,사당동,588-45
subway,낙성대역,,37.47755938,126.9637296,,227,,2호선,,서울특별시 관악구 남부순환로 1929-5 쏘라시티오피스텔,서울특별시 관악구 봉천동 1686-29,서울특별시,관악구,봉천동,1686-29
subway,서울대입구역,,37.48105136,126.9530324,,228,,2호선,,서울특별시 관악구 남부순환로 1822 서울대입구역사,서울특별시 관악구 봉천동 979-1,서울특별시,관악구,봉천동,979-1
subway,봉천역,,37.48216335,126.9415672,,229,,2호선,,서울특별시 관악구 남부순환로 1724 경원빌딩,서울특별시 관악구 봉천동 930-45,서울특별시,관악구,봉천동,930-45
subway,신림역,,37.48374247,126.9296716,,230,,2호선,,,서울특별시 관악구 신림동 1642-9,서울특별시,관악구,신림동,1642-9
subway,신대방역,,37.48755131,126.9128748,,231,,2호선,,서울특별시 동작구 대림로 2 신대방역2호선,서울특별시 동작구 신대방동 643-1,서울특별시,동작구,신대방동,643-1
subway,구로디지털단지역,,37.48531865,126.9016069,,232,,2호선,,,서울특별시 영등포구 대림동 1103-11,서울특별시,영등포구,대림동,1103-11
subway,대림역,,37.49338622,126.8954221,,233,,7호선&2호선,,,서울특별시 영등포구 대림동 1052-5,서울특별시,영등포구,대림동,1052-5
subway,신도림역,,37.50874248,126.8911025,,234,,경부선&2호선,,서울특별시 구로구 새말로 117-21 신도림역,서울특별시 구로구 신도림동 460-26,서울특별시,구로구,신도림동,460-26
subway,문래역,,37.51800085,126.8947357,,235,,2호선,,서울특별시 영등포구 당산로 28 문래역,서울특별시 영등포구 문래동3가 68-1,서울특별시,영등포구,문래동3가,68-1
subway,영등포구청역,,37.52497943,126.8961466,,236,,5호선&2호선,,서울특별시 영등포구 당산로 121 영등포구청역,서울특별시 영등포구 당산동3가 270-1,서울특별시,영등포구,당산동3가,270-1
subway,당산역,,37.53487066,126.9025365,,237,,9호선&2호선,,서울특별시 영등포구 당산로 229 당산역,서울특별시 영등포구 당산동6가 323-1,서울특별시,영등포구,당산동6가,323-1
subway,합정역,,37.54993725,126.9142178,,238,,6호선&2호선,,,서울특별시 마포구 합정동 417-19,서울특별시,마포구,합정동,417-19
subway,홍대입구역,,37.55673836,126.9252557,,239,,공항철도 1호선&경의선&2호선,,,서울특별시 마포구 동교동 192-6,서울특별시,마포구,동교동,192-6
subway,신촌역,,37.55537589,126.9370587,,240,,경의선&2호선,,,서울특별시 서대문구 창천동 30-16,서울특별시,서대문구,창천동,30-16
subway,이대역,,37.55651581,126.946261,,241,,2호선,,,서울특별시 마포구 대흥동 2-1,서울특별시,마포구,대흥동,2-1
subway,아현역,,37.55707127,126.9557537,,242,,2호선,,서울특별시 마포구 신촌로 270,서울특별시 마포구 아현동 329-1,서울특별시,마포구,아현동,329-1
subway,충정로역,,37.56028887,126.9638554,,243,,5호선&2호선,,서울특별시 서대문구 충정로4길 22-15,서울특별시 서대문구 충정로3가 360-12,서울특별시,서대문구,충정로3가,360-12
subway,용답역,,37.56190643,127.0506563,,244,,2호선,,,서울특별시 성동구 사근동 235-1,서울특별시,성동구,사근동,235-1
subway,신답역,,37.57023285,127.0474696,,245,,2호선,,,서울특별시 성동구 용답동 128-3,서울특별시,성동구,용답동,128-3
subway,도림천역,,37.51418683,126.8823714,,247,,2호선,,서울특별시 구로구 경인로67길 159 신도림고등학교,서울특별시 구로구 신도림동 270-2,서울특별시,구로구,신도림동,270-2
subway,양천구청역,,37.51201388,126.8658975,,248,,2호선,,서울특별시 양천구 목동로3길 57 양천아파트,서울특별시 양천구 신정동 276,서울특별시,양천구,신정동,276
subway,신정네거리역,,37.51979397,126.8531463,,249,,2호선,,,서울특별시 양천구 신정동 1092,서울특별시,양천구,신정동,1092
subway,용두역,,37.57416449,127.0379179,,250,,2호선,,,서울특별시 동대문구 용두동 47-1,서울특별시,동대문구,용두동,47-1
subway,지축역,,37.6479459,126.9137859,,309,,3호선,,,경기도 고양시 덕양구 지축동 702-9,경기도,고양시 덕양구,지축동,702-9
subway,구파발역,,37.63675929,126.9186481,,310,,3호선,,,서울특별시 은평구 진관동,서울특별시,은평구,진관동,
subway,연신내역,,37.61886021,126.9209198,,311,,6호선&3호선,,서울특별시 은평구 통일로 849 3,서울특별시 은평구 갈현동 397,서울특별시,은평구,갈현동,397
subway,불광역,,37.60984534,126.9298313,,312,,6호선&3호선,,,서울특별시 은평구 대조동 15-19,서울특별시,은평구,대조동,15-19
subway,녹번역,,37.60078498,126.9358871,,313,,3호선,,서울특별시 은평구 통일로 602-1 지하철3호선 녹번역,서울특별시 은평구 녹번동 55,서울특별시,은평구,녹번동,55
subway,홍제역,,37.58876297,126.9442082,,314,,3호선,,서울특별시 서대문구 통일로 440-1 홍제역,서울특별시 서대문구 홍제동 161-1,서울특별시,서대문구,홍제동,161-1
subway,무악재역,,37.58243016,126.9505666,,315,,3호선,,서울특별시 서대문구 통일로 361 무악재역,서울특별시 서대문구 홍제동 26-1,서울특별시,서대문구,홍제동,26-1
subway,독립문역,,37.57451522,126.9578848,,316,,3호선,,,서울특별시 종로구 무악동 41-6,서울특별시,종로구,무악동,41-6
subway,경복궁역,,37.57576324,126.9731438,,317,,3호선,,,서울특별시 종로구 적선동 81-1,서울특별시,종로구,적선동,81-1
subway,안국역,,37.57659441,126.9851206,,318,,3호선,,서울특별시 종로구 율곡로 53,서울특별시 종로구 안국동 148,서울특별시,종로구,안국동,148
subway,충무로역,,37.56157405,126.9942237,,321,,4호선&3호선,,,서울특별시 중구 필동2가 13-27,서울특별시,중구,필동2가,13-27
subway,동대입구역,,37.55957402,127.005415,,322,,3호선,,,서울특별시 중구 장충동2가 189-4,서울특별시,중구,장충동2가,189-4
subway,약수역,,37.55396235,127.0107337,,323,,6호선&3호선,,,서울특별시 중구 신당동 368-57,서울특별시,중구,신당동,368-57
subway,금호역,,37.54801533,127.0156124,,324,,3호선,,,서울특별시 성동구 금호동4가 1470-1,서울특별시,성동구,금호동4가,1470-1
subway,옥수역,,37.54113141,127.0182136,,325,,경원선&3호선,,,서울특별시 성동구 옥수동 78-2,서울특별시,성동구,옥수동,78-2
subway,압구정역,,37.52661631,127.028487,,326,,3호선,,,서울특별시 강남구 신사동 668,서울특별시,강남구,신사동,668
subway,신사역,,37.51646188,127.0202532,,327,,3호선,,,서울특별시 강남구 신사동 501-5,서울특별시,강남구,신사동,501-5
subway,잠원역,,37.51260669,127.0113756,,328,,3호선,,서울특별시 서초구 잠원로4길 36-15 베니하우스,서울특별시 서초구 잠원동 60-22,서울특별시,서초구,잠원동,60-22
subway,고속터미널역,,37.50461701,127.004919,,329,,9호선&7호선&3호선,,서울특별시 서초구 신반포로 176 센트럴시티빌딩,서울특별시 서초구 반포동 19-3,서울특별시,서초구,반포동,19-3
subway,교대역,,37.49336112,127.013906,,330,,3호선&2호선,,,서울특별시 서초구 서초동 1672-10,서울특별시,서초구,서초동,1672-10
subway,남부터미널역,,37.48514369,127.0166047,,331,,3호선,,,서울특별시 서초구 서초동 1748-36,서울특별시,서초구,서초동,1748-36
subway,양재역,,37.48390396,127.0341972,,332,,3호선,,서울특별시 서초구 강남대로 221 동성빌딩,서울특별시 서초구 양재동 23,서울특별시,서초구,양재동,23
subway,매봉역,,37.48733427,127.0471791,,333,,3호선,,서울특별시 강남구 남부순환로 2744 매봉역,서울특별시 강남구 도곡동 179-2,서울특별시,강남구,도곡동,179-2
subway,도곡역,,37.49091672,127.0555398,,334,,분당선&3호선,,서울특별시 강남구 남부순환로 2814 도곡역,서울특별시 강남구 대치동 600-7,서울특별시,강남구,대치동,600-7
subway,대치역,,37.49404819,127.0636928,,335,,3호선,,서울특별시 강남구 삼성로 156 하이마트사옥,서울특별시 강남구 대치동 509,서울특별시,강남구,대치동,509
subway,학여울역,,37.49652003,127.0710679,,336,,3호선,,,서울특별시 강남구 대치동 514-3,서울특별시,강남구,대치동,514-3
subway,대청역,,37.4939486,127.0796732,,337,,3호선,,서울특별시 강남구 개포로 623 대청타워,서울특별시 강남구 개포동 13-3,서울특별시,강남구,개포동,13-3
subway,일원역,,37.48445574,127.0848417,,338,,3호선,,서울특별시 강남구 일원로 121 일원역,서울특별시 강남구 일원동 717,서울특별시,강남구,일원동,717
subway,수서역,,37.48727127,127.1023027,,339,,분당선&3호선,,서울특별시 강남구 광평로 280 로즈데일오피스텔,서울특별시 강남구 수서동 724,서울특별시,강남구,수서동,724
subway,경찰병원역,,37.49553995,127.1240256,,341,,3호선,,서울특별시 송파구 중대로 149 경찰병원역,서울특별시 송파구 가락동 10-15,서울특별시,송파구,가락동,10-15
subway,당고개역,,37.67047739,127.0790735,,409,,4호선,,,서울특별시 노원구 상계동 111-627,서울특별시,노원구,상계동,111-627
subway,상계역,,37.66036492,127.0732967,,410,,4호선,,서울특별시 노원구 한글비석로 399 벽산아파트,서울특별시 노원구 상계동 173-6,서울특별시,노원구,상계동,173-6
subway,노원역,,37.65536877,127.0625352,,411,,7호선&4호선,,,서울특별시 노원구 상계동 606-13,서울특별시,노원구,상계동,606-13
subway,창동역,,37.65328521,127.0477927,,412,,경원선&4호선,,서울특별시 도봉구 마들로11길 77 창동역,서울특별시 도봉구 창동 135-1,서울특별시,도봉구,창동,135-1
subway,쌍문역,,37.64861524,127.0351078,,413,,4호선,,서울특별시 도봉구 도봉로 484,서울특별시 도봉구 창동 659-12,서울특별시,도봉구,창동,659-12
subway,수유역,,37.63759681,127.0256085,,414,,4호선,,서울특별시 강북구 도봉로 334 영광빌딩,서울특별시 강북구 번동 446-50,서울특별시,강북구,번동,446-50
subway,미아역,,37.62647856,127.0264659,,415,,4호선,,서울특별시 강북구 도봉로 200 삼양주유소,서울특별시 강북구 미아동 197-14,서울특별시,강북구,미아동,197-14
subway,미아사거리역,,37.61331615,127.0303576,,416,,4호선,,서울특별시 강북구 도봉로 48,서울특별시 강북구 미아동 71-5,서울특별시,강북구,미아동,71-5
subway,길음역,,37.6034498,127.0248863,,417,,4호선,,서울특별시 성북구 동소문로 248 삼부아파트,서울특별시 성북구 길음동 1276-2,서울특별시,성북구,길음동,1276-2
subway,성신여대입구역,,37.59283757,127.0165313,,418,,4호선,,,서울특별시 성북구 동선동4가 1-1,서울특별시,성북구,동선동4가,1-1
subway,한성대입구역,,37.5884957,127.0059056,,419,,4호선,,,서울특별시 성북구 성북동1가 50-3,서울특별시,성북구,성북동1가,50-3
subway,혜화역,,37.58217807,127.0018975,,420,,4호선,,서울특별시 종로구 대학로 120,서울특별시 종로구 동숭동 67-2,서울특별시,종로구,동숭동,67-2
subway,명동역,,37.56110477,126.9861788,,424,,4호선,,서울특별시 중구 퇴계로 124 명동역지하쇼핑센터,서울특별시 중구 충무로2가 111,서울특별시,중구,충무로2가,111
subway,회현역,,37.55870688,126.9784787,,425,,4호선,,서울특별시 중구 퇴계로 54 회현역 4호선,서울특별시 중구 남창동 116-1,서울특별시,중구,남창동,116-1
subway,숙대입구역,,37.54445188,126.9724858,,427,,4호선,,서울특별시 용산구 한강대로 294 농협남영동지점,서울특별시 용산구 남영동 20,서울특별시,용산구,남영동,20
subway,삼각지역,,37.53484755,126.9734988,,428,,6호선&4호선,,서울특별시 용산구 한강대로 180 4호선 삼각지역,서울특별시 용산구 한강로1가 228-1,서울특별시,용산구,한강로1가,228-1
subway,신용산역,,37.52918797,126.968342,,429,,4호선,,서울특별시 용산구 한강대로 112 4호선 신용산역,서울특별시 용산구 한강로2가 181,서울특별시,용산구,한강로2가,181
subway,이촌역,,37.52212565,126.9741234,,430,,경원선&4호선,,,서울특별시 용산구 용산동5가 17-69,서울특별시,용산구,용산동5가,17-69
subway,동작역,,37.50284532,126.9788804,,431,,9호선&4호선,,서울특별시 동작구 현충로 220 9호선 동작역,서울특별시 동작구 동작동 326,서울특별시,동작구,동작동,326
subway,총신대입구역,,37.48608012,126.9822458,,432,,4호선,,,서울특별시 서초구 방배동 2298,서울특별시,서초구,방배동,2298
subway,남태령역,,37.46415062,126.9889974,,434,,4호선,,,서울특별시 서초구 방배동 2911-2,서울특별시,서초구,방배동,2911-2
subway,남영역,,37.54154316,126.971197,,1002,,경부선,,서울특별시 용산구 한강대로77길 25 남영역,서울특별시 용산구 갈월동 96-1,서울특별시,용산구,갈월동,96-1
subway,용산역,,37.52967336,126.9644817,,1003,,경부선,,서울특별시 용산구 한강대로23길 55 용산민자역사,서울특별시 용산구 한강로3가 40-999,서울특별시,용산구,한강로3가,40-999
subway,노량진역,,37.51416056,126.9434509,,1004,,경부선&9호선,,서울특별시 동작구 노량진로 151 철도 초소,서울특별시 동작구 노량진동 112-1,서울특별시,동작구,노량진동,112-1
subway,대방역,,37.51382684,126.9267924,,1005,,경부선,,서울특별시 영등포구 여의대방로62길 2 봉덕빌딩,서울특별시 영등포구 신길동 1432,서울특별시,영등포구,신길동,1432
subway,영등포역,,37.51543483,126.9074713,,1006,,경부선,,서울특별시 영등포구 경인로102길 13 영등포 민자역사,서울특별시 영등포구 영등포동 618-496,서울특별시,영등포구,영등포동,618-496
subway,서빙고역,,37.51940709,126.9883773,,1009,,경원선,,서울특별시 용산구 서빙고로62길 3,서울특별시 용산구 서빙고동 241-11,서울특별시,용산구,서빙고동,241-11
subway,한남역,,37.52940865,127.0087078,,1010,,경원선,,,서울특별시 용산구 한남동 399-8,서울특별시,용산구,한남동,399-8
subway,응봉역,,37.5499289,127.0344297,,1012,,경원선,,,서울특별시 성동구 응봉동 3-10,서울특별시,성동구,응봉동,3-10
subway,회기역,,37.58959942,127.0581337,,1015,,중앙선,,서울특별시 동대문구 휘경로12길 55,서울특별시 동대문구 휘경동 267-122,서울특별시,동대문구,휘경동,267-122
subway,외대앞역,,37.59602963,127.0637459,,1016,,경원선,,서울특별시 동대문구 휘경로11가길 4-2,서울특별시 동대문구 이문동 126-38,서울특별시,동대문구,이문동,126-38
subway,신이문역,,37.60203541,127.0673928,,1017,,경원선,,,서울특별시 동대문구 이문동 360-1,서울특별시,동대문구,이문동,360-1
subway,석계역,,37.61465339,127.0662622,,1018,,경원선&6호선,,,서울특별시 성북구 석관동 375-95,서울특별시,성북구,석관동,375-95
subway,광운대역,,37.62355743,127.0618069,,1019,,경원선,,서울특별시 노원구 석계로 98-2 성북역,서울특별시 노원구 월계동 85,서울특별시,노원구,월계동,85
subway,월계역,,37.63309847,127.05886,,1020,,경원선,,,서울특별시 노원구 월계동 263-6,서울특별시,노원구,월계동,263-6
subway,녹천역,,37.64414708,127.0531669,,1021,,경원선,,서울특별시 도봉구 덕릉로66길 17 주공17단지아파트,서울특별시 도봉구 창동 38,서울특별시,도봉구,창동,38
subway,한티역,,37.49629145,127.0529247,,1024,,분당선,,서울특별시 강남구 선릉로 228 한티역,서울특별시 강남구 대치동 1011-28,서울특별시,강남구,대치동,1011-28
subway,구룡역,,37.48719208,127.0591644,,1026,,분당선,,서울특별시 강남구 개포로 403 구룡역,서울특별시 강남구 개포동 175-3,서울특별시,강남구,개포동,175-3
subway,개포동역,,37.48869485,127.0663117,,1027,,분당선,,서울특별시 강남구 개포로 420 개포동역,서울특별시 강남구 개포동 198,서울특별시,강남구,개포동,198
subway,대모산입구역,,37.49146604,127.0730534,,1028,,분당선,,서울특별시 강남구 개포로 522 대모산입구역,서울특별시 강남구 일원동 700,서울특별시,강남구,일원동,700
subway,복정역,,37.46948021,127.1266825,,1031,,분당선&8호선,,서울특별시 송파구 송파대로 6 복정역,서울특별시 송파구 장지동 596-21,서울특별시,송파구,장지동,596-21
subway,신길역,,37.51693749,126.9167221,,1032,,경부선&5호선,,,서울특별시 영등포구 신길동 31-51,서울특별시,영등포구,신길동,31-51
subway,중랑역,,37.59486937,127.0758472,,1201,,중앙선,,서울특별시 중랑구 중랑역로 9 중랑역사,서울특별시 중랑구 중화동 73-7,서울특별시,중랑구,중화동,73-7
subway,망우역,,37.59942757,127.0924072,,1203,,중앙선,,서울특별시 중랑구 망우로55길 11-10,서울특별시 중랑구 상봉동 172,서울특별시,중랑구,상봉동,172
subway,양원역,,37.60659371,127.1078406,,1204,,중앙선,,서울특별시 중랑구 송림길 147 양원역사,서울특별시 중랑구 망우동 253-9,서울특별시,중랑구,망우동,253-9
subway,구리역,,37.60298823,127.1435663,,1205,,중앙선,,,경기도 구리시 인창동 689,경기도,구리시,인창동,689
subway,도농역,,37.6083356,127.1611533,,1206,,중앙선,,,경기도 남양주시 도농동,경기도,남양주시,도농동,
subway,양정역,,37.60396116,127.1944472,,1207,,중앙선,,경기도 남양주시 경강로 237 양정역,경기도 남양주시 이패동 387-27,경기도,남양주시,이패동,387-27
subway,덕소역,,37.58717886,127.2086244,,1208,,중앙선,,경기도 남양주시 와부읍 덕소로 56 덕소역,경기도 남양주시 와부읍 덕소리 590-17,경기도,남양주시 와부읍,덕소리,590-17
subway,도심역,,37.57956745,127.2224782,,1209,,중앙선,,,경기도 남양주시 와부읍 도곡리 1024-34,경기도,남양주시 와부읍,도곡리,1024-34
subway,팔당역,,37.54709038,127.2436563,,1210,,중앙선,,,경기도 남양주시 와부읍 팔당리 399-11,경기도,남양주시 와부읍,팔당리,399-11
subway,운길산역,,37.55450223,127.3106773,,1211,,중앙선,,,경기도 남양주시 조안면 진중리 227-3,경기도,남양주시 조안면,진중리,227-3
subway,양수역,,37.54580343,127.3289729,,1212,,중앙선,,경기도 양평군 양서면 목왕로 55-10 양수역,경기도 양평군 양서면 용담리 255-5,경기도,양평군 양서면,용담리,255-5
subway,신원역,,37.52549099,127.3730035,,1213,,중앙선,,경기도 양평군 양서면 신원역길 7,경기도 양평군 양서면 신원리 480-29,경기도,양평군 양서면,신원리,480-29
subway,국수역,,37.51639959,127.3980694,,1214,,중앙선,,,경기도 양평군 양서면 국수리 산53-2,경기도,양평군 양서면,국수리,산53-2
subway,아신역,,37.51371547,127.4435249,,1215,,중앙선,,경기도 양평군 옥천면 아신역길 30 아신역,경기도 양평군 옥천면 아신리 산112-2,경기도,양평군 옥천면,아신리,산112-2
subway,오빈역,,37.50610265,127.4736543,,1216,,중앙선,,,경기도 양평군 양평읍 오빈리 산54-4,경기도,양평군 양평읍,오빈리,산54-4
subway,원덕역,,37.46859623,127.5464875,,1218,,중앙선,,,경기도 양평군 양평읍 원덕리 400-8,경기도,양평군 양평읍,원덕리,400-8
subway,용문역,,37.48170369,127.593706,,1219,,중앙선,,,경기도 양평군 용문면 다문리 748-2,경기도,양평군 용문면,다문리,748-2
subway,서강대역,,37.55169909,126.9356721,,1263,,경의선,,,서울특별시 마포구 노고산동 124-2,서울특별시,마포구,노고산동,124-2
subway,가좌역,,37.56873943,126.9146712,,1265,,경의선,,,서울특별시 서대문구 남가좌동 296-10,서울특별시,서대문구,남가좌동,296-10
subway,수색역,,37.58133788,126.8958182,,1267,,경의선,,서울특별시 은평구 수색로 253,서울특별시 은평구 수색동 81-1,서울특별시,은평구,수색동,81-1
subway,화전역,,37.60293349,126.8681561,,1268,,경의선,,,경기도 고양시 덕양구 화전동 584,경기도,고양시 덕양구,화전동,584
subway,강매역,,37.61263629,126.8454869,,1269,,경의선,,,경기도 고양시 덕양구 행신동 108-10,경기도,고양시 덕양구,행신동,108-10
subway,행신역,,37.61208051,126.8343888,,1270,,경의선,,,경기도 고양시 덕양구 강매동 613-1,경기도,고양시 덕양구,강매동,613-1
subway,능곡역,,37.61908706,126.8201013,,1271,,경의선,,,경기도 고양시 덕양구 토당동 499-1,경기도,고양시 덕양구,토당동,499-1
subway,곡산역,,37.6457266,126.801907,,1272,,경의선,,,경기도 고양시 일산동구 백석동 34-9,경기도,고양시 일산동구,백석동,34-9
subway,백마역,,37.6576077,126.7950756,,1273,,경의선,,,경기도 고양시 일산동구 풍동 461-4,경기도,고양시 일산동구,풍동,461-4
subway,풍산역,,37.67200696,126.7859678,,1274,,경의선,,,경기도 고양시 일산동구 정발산동 1355-1,경기도,고양시 일산동구,정발산동,1355-1
subway,일산역,,37.68207041,126.7696142,,1275,,경의선,,경기도 고양시 일산서구 경의로 672 일산역,경기도 고양시 일산서구 일산동 655-691,경기도,고양시 일산서구,일산동,655-691
